107/07/02,2.09,2.09,1.81,1.82,368000,741320,-0.36,22
107/07/03,1.80,1.84,1.76,1.82,158000,289830,0.00,10
107/07/04,1.68,1.68,1.28,1.32,1320000,2088170,-0.50,43
107/07/05,1.40,1.59,1.28,1.32,1681000,2504380,0.00,47
107/07/06,1.50,1.89,1.48,1.83,2410000,3795100,+0.51,66
107/07/09,1.99,2.25,1.89,2.15,1959000,3872940,+0.32,69
107/07/10,2.33,2.33,2.24,2.24,426000,986550,+0.09,20
107/07/11,2.20,2.20,2.00,2.08,62000,130490,-0.16,14
107/07/12,2.14,2.21,2.05,2.09,152000,331360,+0.01,21
107/07/13,2.19,2.24,2.05,2.06,314000,685240,-0.03,25
107/07/16,2.13,2.26,2.11,2.13,789000,1712750,+0.07,44
107/07/17,2.10,2.18,1.99,1.99,757000,1612410,-0.14,27
107/07/18,2.02,2.13,1.88,1.97,342000,696950,-0.02,27
107/07/19,2.08,2.45,2.06,2.45,487000,1049570,+0.48,32
107/07/20,2.67,2.76,1.91,2.00,401000,1061790,-0.45,35
107/07/23,2.02,2.02,1.70,1.83,100000,196140,-0.17,13
107/07/24,1.85,2.05,1.85,2.01,145000,278350,+0.18,13
107/07/25,2.16,2.28,2.09,2.28,362000,792680,+0.27,25
107/07/26,2.51,2.54,2.29,2.44,655000,1610430,+0.16,28
107/07/27,2.31,2.36,2.21,2.36,87000,200270,-0.08,7
107/07/30,2.14,2.14,2.01,2.09,70000,144100,-0.27,9
107/07/31,2.10,2.19,2.02,2.02,213000,454470,-0.07,10
107/08/01,2.02,2.04,1.70,1.75,319000,622800,-0.27,22
107/08/02,1.55,1.55,1.16,1.38,413000,521700,-0.37,20
107/08/03,1.39,1.40,1.15,1.39,946000,1231720,+0.01,28
107/08/06,1.35,1.46,1.31,1.46,918000,1258520,+0.07,25
107/08/07,1.46,1.71,1.46,1.64,745000,1191770,+0.18,33
107/08/08,1.72,1.72,1.14,1.17,591000,931580,-0.47,38
107/08/09,1.23,1.23,0.85,0.88,508000,492830,-0.29,26
107/08/10,0.76,0.97,0.76,0.91,1056000,909690,+0.03,28
107/08/13,0.71,0.75,0.52,0.53,1255000,874800,-0.38,30
107/08/14,0.45,0.58,0.41,0.58,311000,150000,+0.05,11
107/08/15,0.48,0.48,0.39,0.40,251000,106370,-0.18,9
107/08/16,0.29,0.44,0.29,0.44,213000,78330,+0.04,4
107/08/17,0.48,0.48,0.33,0.33,465000,190060,-0.11,12
107/08/20,0.29,0.29,0.14,0.15,517000,94130,-0.18,14
107/08/21,0.23,0.31,0.23,0.31,84000,20400,+0.16,6
107/08/22,0.26,0.26,0.22,0.22,733000,170480,-0.09,10
107/08/23,0.21,0.25,0.21,0.25,11000,2350,+0.03,2
107/08/24,0.17,0.17,0.13,0.14,541000,79160,-0.11,17
107/08/27,0.15,0.22,0.15,0.21,590000,117600,+0.07,8
107/08/28,---,---,---,---,0,0,---,0
107/08/29,0.17,0.19,0.17,0.19,22000,4080,+0.01,2
107/08/30,0.27,0.28,0.26,0.27,283000,77360,+0.08,6
107/08/31,0.17,0.17,0.17,0.17,416000,70720,-0.10,1
107/09/03,---,---,---,---,0,0,---,0
107/09/04,---,---,---,---,0,0,---,0
107/09/05,0.03,0.03,0.03,0.03,20000,600,-0.01,1
107/09/06,0.04,0.04,0.04,0.04,35000,1400,+0.01,2
107/09/07,---,---,---,---,0,0,---,0
107/09/10,0.01,0.01,0.01,0.01,120000,1200,-0.03,2
107/09/11,---,---,---,---,0,0,---,0
107/09/12,---,---,---,---,0,0,---,0
107/09/13,---,---,---,---,0,0,---,0
107/09/14,---,---,---,---,0,0,---,0
107/09/17,---,---,---,---,0,0,---,0
107/09/18,0.01,0.01,0.01,0.01,110000,1100,-0.01,2
107/09/19,---,---,---,---,0,0,---,0
107/09/20,0.01,0.01,0.01,0.01,25000,250,0.00,2
107/09/21,0.01,0.01,0.01,0.01,10000,100,0.00,1
